type,sequence
test,38-57-38-39-38-39-7-7-7-7-23-7-7-7-7-7-7-7-7-7-7-7-7-7-23-7-7-7-7-7-7-7-23-7-7-7-7-7-7-19-19-19-7-23-7-7-7-7-7-7-7-7-7-23-7-41-7-7-7-7-19-19-19-19-19-19-19-19-19-19-19-19-19-3-14-36-4
train,1-1-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-57-65-66
train,7-7-7-7-38-57-38-39-14-5-6-23-7-7-7-7-23-7-7-7-7-7-7-23-7-7-7-7-7-23-7-7-7-7-7-23-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-23-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
train,1-1-5-8-6-8-8-8-8-8-5-6-5-3-6-4
train,5-3-6-4
test,14-5-3-6-4
test,27-27-16-14-3-5-6-4
train,14-5-3-6-4
train,44-44-8-8-3-5-6-4
train,1-1-57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-3-4
train,14-3-5-6-9-4
train,14-5-3-6-4
train,14-5-3-6-5-6-4
train,5-6-3-5-6-4
train,3-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
train,38-57-38-39-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-70-22-22-40-40-41-7-7-7-7-7-7-7-7-7-3-5-6-4
train,14-3-5-6-4
train,1-14-3-4
train,5-3-4
train,3-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-57-38-39-38-57-38-39-57-65-66
train,1-1-1-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,14-1-3-5-6-4
train,3-4
test,3-4
train,3-4
train,27-3-5-4
test,6-3-5-6-4
train,5-6-3-5-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
test,1-1-1-1-57-57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,65-66
train,38-57-38-57-38-39-38-39-65-57-57-66
train,65-66
test,1-1-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,65-66
train,1-1-5-5-6-6-3-4
train,3-4
train,3-4
train,3-4
train,65-57-57-38-39-38-38-39-66
train,65-66
train,38-57-38-57-38-39-38-39-57-57-65-66
train,65-66
train,38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-5-6-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-1-5-6-5-6-38-39-57-38-65-38-39-66
train,1-65-57-38-39-66
train,38-57-38-39-57-65-66
train,1-1-3-4
train,3-4
validation,1-1-3-4
train,22-7-7-7-7-7-7-7-7-7-7-7-3-4
train,1-1-3-4
validation,65-57-66
train,57-65-57-66
test,1-1-5-11-11-11-11-6-3-4
train,5-11-11-6-3-4
train,5-11-11-6-3-4
train,1-1-1-1-1-1-28-28-3-4
validation,14-28-28-57-65-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
test,1-1-61-14-3-5-11-4
train,3-11-6-4
train,5-11-11-11-3-4
test,3-11-11-4
validation,11-6-3-5-11-11-11-11-11-11-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-1-1-1-65-57-38-39-38-38-39-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,7-75-76-76-76-76-19-19-19-20-20-19-19-1-23-1-23-72-72-41-7-7-7-23-23-0-2-0-2-0-2-0-2-0-2-0-2-12-12-12-12-12-12-12-12-14-14-3-5-11-11-11-11-6-4
train,3-5-11-11-6-4
train,14-5-11-11-11-11-11-3-11-11-4
train,3-11-11-11-4
test,11-11-6-5-3-11-4
train,11-6-3-5-11-11-6-4
train,1-1-65-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-57-65-66
train,38-57-38-38-39-14-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
train,3-4
validation,3-4
test,3-1-1-4
train,8-1-8-3-4
validation,5-3-4
train,6-3-5-4
train,6-3-4
validation,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-57-65-38-39-38-38-39-38-66
test,38-57-38-39-65-57-66
train,1-1-57-65-38-39-66
train,38-57-38-39-57-65-66
train,1-1-57-65-38-39-38-38-39-38-38-39-38-57-38-66
train,38-39-57-65-66
train,1-1-53-57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,1-1-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
validation,1-1-1-38-39-38-39-65-38-57-38-38-39-38-38-39-38-57-38-38-39-66
test,38-57-38-39-57-65-57-57-57-66
validation,1-1-44-44-14-5-11-11-11-11-11-11-3-11-4
train,11-3-6-4
train,12-12-12-12-3-4
train,35-35-35-3-4
train,35-43-28-3-4
train,3-4
train,5-6-8-8-8-8-8-8-3-4
test,3-4
train,5-11-3-4
train,3-4
test,3-11-4
train,11-3-4
train,11-11-11-6-3-5-4
train,6-3-4
train,65-57-38-39-66
train,38-57-38-39-57-65-66
train,11-11-11-11-6-5-11-11-6-1-1-5-11-3-11-6-4
validation,8-8-3-5-11-11-6-4
train,3-4
train,5-11-3-11-11-11-6-5-11-11-11-11-6-4
train,57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
validation,1-1-0-1-2-0-2-0-2-12-12-12-12-5-6-3-5-6-4
train,14-5-3-6-4
train,3-5-6-4
train,5-3-6-4
train,8-3-8-8-8-4
validation,8-3-8-4
test,5-6-5-3-6-4
validation,65-57-38-39-38-39-66
train,38-57-38-39-57-65-66
train,0-1-2-12-1-12-12-12-0-2-0-2-5-6-5-3-6-5-4
train,6-8-8-8-8-3-5-6-4
train,14-5-3-6-4
train,3-5-6-4
train,14-5-3-6-4
train,14-5-3-6-4
test,5-3-4
train,6-3-4
test,5-6-57-65-38-39-38-38-39-38-38-39-38-38-66
train,38-39-38-57-38-39-57-65-66
train,9-16-28-28-28-35-28-1-1-57-65-66
test,65-57-38-39-38-38-39-66
test,1-1-1-73-5-6-5-6-3-4
train,5-6-3-5-6-4
train,41-41-41-1-1-8-8-44-44-44-44-8-8-44-44-44-44-8-8-8-8-8-8-5-6-8-8-5-6-5-6-5-6-3-0-2-5-9-16-6-5-6-4
test,3-5-6-55-4
validation,55-5-6-3-4
train,41-41-57-65-66
train,57-65-66
train,38-39-1-1-1-1-1-5-6-55-55-38-39-57-38-65-38-38-39-66
train,5-6-1-1-1-1-1-1-1-5-6-55-55-55-55-57-65-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,27-1-1-14-3-9-16-5-6-5-6-4
train,3-4
train,3-4
validation,5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-3-4
train,8-8-14-8-3-8-8-8-8-8-8-8-5-4
train,3-6-4
train,1-1-1-1-57-65-66
train,57-65-66
train,57-65-38-39-38-38-66
train,38-39-1-1-1-1-1-57-65-38-39-66
train,38-57-38-39-65-57-66
train,6-1-1-3-5-6-4
train,3-4
test,61-61-14-3-5-6-4
train,5-3-6-4
train,8-8-8-8-8-8-5-6-3-5-6-4
train,8-8-3-5-6-28-4
train,28-57-65-38-39-38-38-39-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,12-12-12-12-12-12-1-1-5-11-11-6-9-16-3-5-6-4
train,12-12-3-5-6-4
train,5-3-6-5-6-4
train,0-2-12-12-12-12-1-1-8-3-8-4
train,5-11-3-4
train,11-6-5-6-5-11-11-11-11-11-11-6-5-11-3-11-6-4
train,3-5-11-11-11-11-6-5-11-11-6-4
validation,5-11-11-6-3-5-11-11-6-4
validation,65-57-66
train,57-65-38-66
train,38-39-38-38-39-38-38-39-1-1-3-5-11-11-11-11-11-11-11-11-6-4
train,57-65-38-39-38-38-39-38-39-66
test,38-57-38-38-39-65-57-66
train,1-5-11-3-11-6-4
train,3-4
train,57-65-38-39-66
train,38-57-38-38-39-65-57-66
train,38-57-38-38-39-7-7-13-23-3-5-11-11-6-5-11-11-6-4
train,3-4
validation,1-1-1-3-4
train,5-6-3-4
train,57-65-38-39-38-38-39-66
test,38-57-38-39-23-7-7-7-7-7-7-7-7-23-7-7-7-7-7-7-7-7-23-7-7-7-7-7-7-7-7-7-7-7-7-7-23-7-7-7-7-7-7-7-7-23-41-38-39-38-39-65-57-38-39-66
train,1-1-1-1-77-78-77-78-79-80-77-78-77-79-78-80-79-80-5-3-4
train,3-6-5-6-5-6-4
train,57-65-66
train,38-39-57-65-38-39-38-38-39-66
train,1-1-1-1-1-3-4
test,22-40-40-41-7-7-7-7-7-7-1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,55-55-55-55-1-1-14-14-14-57-65-38-39-66
validation,38-57-38-39-57-65-66
validation,1-55-1-55-5-11-3-11-6-4
validation,14-3-4
validation,55-55-57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-55-1-55-14-65-57-38-39-38-38-39-38-38-39-38-39-66
train,38-57-38-39-57-65-66
train,1-1-55-55-5-3-11-11-11-11-6-4
train,55-55-3-4
train,55-55-5-3-6-4
train,3-5-11-11-11-11-6-4
validation,1-1-5-11-3-4
train,11-6-5-3-11-11-6-4
train,57-65-38-39-38-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
train,1-1-1-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-57-65-66
train,1-1-5-3-6-4
train,3-8-8-4
train,1-1-14-5-3-6-4
train,57-65-38-39-38-39-66
train,38-57-38-39-65-57-66
train,40-40-41-22-1-1-1-1-14-8-8-8-8-3-4
train,5-6-5-6-3-5-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-57-65-38-39-66
train,8-8-8-1-1-5-1-8-6-5-6-5-6-5-3-6-5-6-4
train,5-3-6-4
train,36-3-4
train,3-5-6-4
train,3-5-4
train,3-4
train,3-6-4
train,5-3-6-4
train,55-55-14-3-4
train,5-3-6-4
test,3-4
train,5-11-11-11-11-6-3-4
train,5-11-3-4
train,11-6-5-11-3-11-6-4
test,65-57-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-5-3-4
train,6-5-3-6-4
validation,57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,11-11-11-11-6-1-1-5-6-14-3-4
train,5-3-11-11-4
train,11-11-11-11-11-11-11-11-6-3-4
train,5-11-11-6-3-4
train,5-11-11-3-11-11-4
test,6-5-11-11-11-11-6-3-4
train,57-65-38-39-66
test,38-57-38-39-57-65-66
test,12-12-12-12-12-12-12-12-12-12-44-44-1-8-8-5-3-4
train,6-3-5-6-4
train,14-5-3-6-4
train,57-65-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-5-3-6-5-6-5-6-5-6-5-6-4
train,14-5-3-6-4
train,3-5-6-4
test,8-8-8-8-8-8-5-6-8-8-8-8-8-8-12-12-8-8-0-8-2-5-8-8-8-6-5-6-8-8-5-6-5-6-5-6-5-6-3-4
validation,3-4
train,3-4
train,3-4
train,5-3-4
train,3-6-5-6-4
train,8-8-8-8-8-8-3-8-8-4
train,8-8-8-8-8-8-5-3-4
train,6-5-6-5-3-4
test,3-4
train,6-3-4
test,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
validation,1-0-2-0-2-3-4
train,5-6-3-4
test,14-1-5-3-4
train,6-3-5-6-4
train,3-5-6-4
train,24-25-3-4
train,27-16-3-4
train,3-5-6-4
train,8-3-8-4
test,5-3-6-4
train,3-4
train,57-65-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-65-57-66
validation,1-1-1-12-12-24-0-25-24-2-25-0-2-12-12-12-12-24-25-0-24-25-2-12-12-12-12-8-8-3-5-6-4
validation,14-3-5-6-4
train,5-3-6-4
train,5-3-6-4
train,5-6-5-3-6-4
train,5-6-3-5-6-4
train,28-28-28-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-1-1-1-1-3-5-6-4
train,14-3-5-6-5-6-4
train,5-3-6-4
train,5-3-6-4
validation,57-65-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-1-65-57-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-65-57-38-39-38-38-39-66
train,38-57-38-39-38-39-65-57-66
train,1-1-3-5-6-4
train,5-3-6-4
train,8-8-8-8-8-8-8-8-8-8-5-6-8-8-8-8-8-8-8-8-8-8-8-8-5-6-3-4
train,3-4
train,5-3-6-4
train,5-3-6-4
train,3-4
validation,5-6-3-5-6-4
train,35-28-28-5-3-6-4
train,5-3-6-4
train,3-5-6-5-6-5-6-4
validation,57-65-38-39-38-38-39-38-38-39-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,8-8-1-1-5-6-5-3-6-5-6-4
validation,5-3-6-4
train,3-4
validation,5-3-6-5-6-5-6-5-6-4
train,5-3-6-5-6-4
train,57-65-38-39-38-38-39-66
train,38-57-38-39-38-39-57-65-66
train,65-57-66
train,57-65-38-39-38-38-66
test,38-39-38-38-39-3-4
train,5-6-3-4
train,1-1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,38-57-38-39-41-5-3-6-4
train,1-1-38-39-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-38-39-66
train,1-1-3-4
validation,0-2-0-3-2-0-2-0-2-5-11-11-11-11-6-12-12-12-12-0-4
train,2-12-12-12-3-12-24-0-25-2-24-25-0-24-25-2-24-25-24-25-0-2-5-11-11-6-0-2-0-24-25-2-5-11-11-11-11-6-5-11-11-6-5-11-11-6-5-11-11-11-11-6-9-9-4
train,1-1-5-11-11-6-5-11-11-11-11-6-5-11-11-11-11-11-11-11-11-6-5-11-11-6-3-5-11-11-6-4
train,3-4
train,5-11-11-3-11-11-11-11-11-11-11-11-11-11-6-4
test,65-57-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-57-38-39-65-57-66
train,71-71-71-71-1-1-1-1-44-44-44-44-37-37-37-37-37-37-37-37-37-37-37-37-1-5-6-3-4
train,5-6-3-5-6-4
train,3-4
train,5-3-6-4
train,5-6-5-6-5-6-14-3-4
test,38-39-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-57-65-66
train,1-1-57-65-38-39-66
train,38-57-38-39-57-65-66
validation,1-1-14-5-3-6-4
test,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
test,14-1-1-3-5-6-4
validation,5-6-3-5-6-5-6-5-6-4
train,57-65-38-39-66
test,38-57-38-39-57-65-66
test,1-1-14-5-3-6-4
train,5-3-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-40-40-41-5-11-11-6-5-11-11-6-1-1-3-4
train,5-6-3-4
train,3-4
train,16-5-6-3-5-6-4
train,5-11-11-6-8-3-8-8-8-5-6-4
train,12-12-12-12-12-12-12-12-12-12-3-4
train,3-5-11-11-6-4
train,8-8-3-8-8-4
train,3-4
train,3-4
train,8-8-3-8-8-5-6-5-6-4
train,3-4
train,8-3-8-4
train,8-3-8-4
train,14-8-3-8-8-8-8-8-5-11-11-11-11-6-4
train,5-11-3-11-11-11-11-11-6-4
validation,3-4
train,57-65-38-39-38-38-39-38-38-39-66
train,22-22-40-40-41-40-40-41-38-57-38-40-40-41-40-40-41-40-40-41-38-39-38-39-57-65-66
train,1-1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-57-65-66
train,0-2-0-2-1-1-3-4
validation,14-5-3-4
train,11-11-3-11-11-11-11-6-4
train,5-11-11-6-3-4
train,65-57-38-39-38-39-66
train,38-57-38-39-65-57-66
train,1-1-65-57-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,5-11-11-6-8-8-8-8-8-8-8-8-8-8-1-1-14-5-6-5-6-8-8-8-8-5-11-11-6-5-11-11-6-5-11-11-6-8-8-11-11-5-11-11-11-8-11-6-8-3-5-6-8-4
validation,8-5-3-11-8-8-11-11-11-11-8-11-6-4
train,3-8-8-4
train,8-8-8-3-4
train,5-6-5-11-11-11-3-11-11-11-11-11-11-11-6-4
train,55-55-5-11-3-11-11-11-11-11-11-11-6-4
train,35-43-35-43-3-4
train,57-65-66
train,1-1-1-1-5-3-11-11-6-4
train,5-11-11-6-3-4
train,28-28-43-35-43-5-11-3-11-11-11-11-11-11-4
train,3-11-11-11-11-11-11-11-11-11-11-11-6-4
train,65-57-38-39-38-38-39-66
train,38-57-38-38-39-57-65-66
train,1-1-1-14-3-4
train,5-3-4
train,6-3-4
test,3-4
train,5-3-6-4
train,3-4
validation,5-3-6-4
train,5-6-5-6-5-3-6-4
train,5-3-6-4
train,5-6-5-6-3-4
train,5-3-6-4
train,5-3-4
train,6-3-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-44-44-37-37-37-37-37-37-37-37-37-37-37-37-37-37-1-1-5-11-11-11-11-11-11-6-5-11-3-11-11-11-11-11-6-4
train,3-5-11-11-6-4
validation,14-5-11-3-11-11-11-6-4
train,3-4
train,3-5-11-11-11-11-11-11-6-4
validation,3-5-11-11-11-11-11-11-11-11-11-11-11-4
train,11-11-11-6-5-11-3-11-11-11-11-11-6-4
train,3-5-11-11-11-11-6-5-11-11-6-4
validation,3-36-4
test,5-11-3-11-11-11-11-11-11-11-6-4
train,1-1-1-5-11-3-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-6-4
train,3-4
train,1-1-0-2-3-4
validation,3-4
validation,5-11-3-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-6-4
train,57-65-38-39-38-38-39-38-38-39-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-39-57-38-39-38-57-38-39-65-57-66
train,5-11-11-11-11-11-11-11-11-6-5-11-11-11-11-6-5-11-11-6-0-2-0-2-5-11-11-11-11-11-11-11-11-11-11-6-61-91-1-1-1-63-5-6-5-11-11-11-11-11-11-3-4
train,6-3-5-4
train,6-5-6-14-57-65-66
test,1-1-3-4
train,1-1-1-65-57-38-39-38-38-66
train,38-39-38-57-38-39-57-65-66
train,38-57-38-39-38-39-5-11-11-6-5-11-11-11-11-11-11-11-11-11-11-6-14-1-5-14-11-11-14-11-11-6-61-37-37-37-37-37-89-89-89-37-89-89-89-89-37-89-89-89-89-89-89-89-37-89-89-89-89-89-89-89-89-89-89-37-37-87-37-37-37-87-37-87-87-37-54-37-37-37-37-37-37-37-51-51-37-37-37-37-44-44-5-11-11-6-1-44-44-37-37-5-11-11-6-5-6-3-5-11-11-6-4
train,12-12-12-12-12-12-5-3-6-4
train,5-6-3-4
validation,5-11-11-6-3-5-11-11-6-5-6-4
train,5-6-3-4
train,14-5-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-11-6-5-11-11-11-11-11-11-11-11-11-11-11-11-6-3-5-6-4
train,38-39-44-44-1-1-37-37-37-37-37-37-37-37-37-37-1-1-1-1-1-1-51-51-1-1-38-39-38-39-38-39-38-39-57-65-38-39-66
train,38-57-38-39-57-65-66
train,55-55-55-55-1-1-57-65-38-39-66
train,38-57-38-39-57-65-66
train,12-12-24-25-24-25-8-8-8-8-8-8-8-8-1-1-5-11-11-11-6-11-3-5-11-11-6-28-4
train,28-28-5-3-6-4
train,55-55-5-3-6-4
validation,3-5-6-4
train,8-3-8-4
train,5-3-6-4
train,3-4
train,5-11-3-11-11-11-6-4
validation,55-55-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
validation,1-1-5-11-3-11-6-5-11-11-6-4
train,57-65-38-39-66
train,38-57-38-39-65-57-66
train,6-55-55-74-14-1-1-1-3-5-6-4
train,57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-63-64-63-5-11-11-6-74-74-14-64-1-1-1-1-89-89-26-26-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-90-26-23-23-23-23-23-23-23-23-23-23-23-23-23-40-40-41-59-55-55-55-55-5-11-11-11-11-6-42-91-57-42-42-42-42-42-42-30-30-30-30-30-42-42-30-30-30-30-30-30-30-30-30-30-30-12-12-12-12-12-12-12-12-0-2-0-2-24-25-44-44-44-44-0-2-64-0-2-24-0-25-2-64-63-63-0-2-0-2-24-25-24-25-61-9-40-40-41-9-9-9-16-9-56-35-35-29-29-34-29-35-35-29-35-28-43-35-43-35-43-28-28-43-9-9-16-9-9-27-16-73-1-1-1-1-0-2-0-2-0-2-0-2-0-2-0-2-61-63-63-91-61-92-92-92-63-0-2-0-2-0-2-0-2-0-2-0-2-61-92-92-92-23-23-23-23-23-23-23-23-59-22-22-22-22-40-40-41-26-26-26-26-61-26-89-89-89-89-89-5-11-57-11-6-44-44-44-44-44-44-1-91-42-5-11-11-6-5-11-11-6-5-11-11-11-11-11-11-6-5-11-11-6-5-11-11-6-5-11-11-6-5-11-11-11-11-11-11-6-14-5-11-11-6-5-11-11-6-5-11-11-6-5-11-11-11-11-11-11-6-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-14-14-1-1-1-1-1-1-1-1-65-57-38-39-66
validation,1-1-1-1-38-39-1-5-11-11-11-11-11-11-11-11-6-65-57-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-3-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-57-65-36-66
validation,40-40-41-8-8-8-8-1-1-12-12-8-8-8-8-5-11-11-11-11-11-11-6-8-8-8-8-3-5-11-11-11-11-6-5-6-5-11-11-6-4
train,14-3-5-11-11-11-11-11-11-11-11-11-11-11-11-11-11-6-4
train,3-5-11-11-11-11-6-4
train,5-6-3-4
train,65-57-38-39-66
train,1-1-5-3-6-4
train,8-8-3-5-4
train,3-6-4
train,1-1-14-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
validation,1-38-39-38-39-1-1-1-1-65-57-38-39-66
train,38-57-38-39-57-65-66
validation,6-0-2-0-2-0-2-0-2-0-2-12-12-12-12-5-6-8-8-8-8-8-8-1-1-5-6-5-6-3-4
train,5-6-3-4
train,3-5-6-4
train,5-6-14-5-3-6-4
train,14-5-3-6-4
train,14-3-5-6-5-6-5-6-4
train,3-5-4
train,3-4
validation,3-6-5-6-4
test,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-38-39-57-65-66
train,12-12-12-12-1-1-8-8-8-8-8-8-5-6-3-5-6-4
train,14-3-5-6-4
train,5-3-6-4
train,8-8-8-8-5-3-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
train,1-1-65-57-66
train,1-14-14-1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,12-12-12-12-12-12-12-12-1-1-0-2-24-0-25-2-16-16-27-9-16-5-3-6-4
train,5-8-8-6-44-44-8-5-8-6-5-3-4
train,6-5-6-3-5-6-14-5-6-4
validation,3-5-6-4
train,8-3-8-5-4
test,6-8-8-3-5-4
train,6-5-3-4
train,6-5-6-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-57-65-66
validation,44-44-44-44-44-44-44-44-44-44-44-44-44-44-44-5-6-5-6-5-6-37-37-37-37-37-37-37-37-37-37-37-37-37-37-37-37-37-37-37-37-37-37-1-5-6-1-1-1-48-48-48-41-41-41-41-41-48-41-41-41-48-48-41-41-5-6-5-6-5-6-3-5-0-2-6-4
train,3-5-6-28-34-4
train,34-28-35-28-28-3-5-6-4
train,3-4
train,5-6-3-5-6-4
train,14-1-1-1-3-4
test,5-3-6-4
validation,3-5-6-4
train,3-5-6-5-6-5-6-5-6-36-5-6-4
train,5-3-6-4
test,57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,5-6-15-0-2-0-2-8-8-8-8-1-1-1-12-12-24-25-12-1-1-12-5-3-6-4
train,3-5-6-8-8-8-8-8-8-5-6-4
train,14-28-28-65-57-38-66
train,38-39-38-57-38-39-38-39-38-39-57-65-66
train,1-3-4
train,57-65-38-66
train,38-39-38-57-38-38-39-57-65-66
train,38-57-38-39-7-7-7-7-7-7-7-7-7-7-7-7-3-5-4
train,28-1-14-57-65-38-39-66
test,12-12-12-12-1-1-5-3-6-4
train,14-8-8-5-3-6-4
train,3-4
validation,3-4
train,3-5-6-5-6-4
train,3-5-6-4
train,5-3-6-4
train,5-3-6-4
train,8-8-3-5-6-4
train,3-4
validation,5-3-6-4
validation,57-65-38-39-38-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
