type,sequence
test,17-5-6-18
train,3-5-6-4
train,17-5-6-5-6-18
train,5-3-6-5-6-4
train,48-7-7-7-7-7-23-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-23-3-5-6-4
train,3-4
test,3-4
train,3-4
train,3-4
train,3-4
validation,17-18
test,3-5-6-4
train,3-4
train,3-5-6-4
train,17-18
validation,3-4
validation,3-5-6-5-6-4
train,3-4
train,3-4
train,5-6-5-3-6-4
train,3-4
test,3-4
train,17-18
train,3-4
train,3-4
test,3-5-6-4
train,3-5-6-4
validation,17-18
train,3-4
train,3-4
train,3-4
validation,3-4
train,36-3-4
test,17-18
train,3-4
train,17-18
validation,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-5-4
validation,6-15-48-3-5-4
train,6-3-4
train,3-4
train,3-4
train,17-18
train,3-4
train,3-4
test,3-4
train,3-4
test,3-4
train,3-4
train,3-5-6-4
train,5-3-6-5-6-4
train,3-4
train,3-4
train,3-5-6-4
train,3-4
train,5-3-6-4
train,3-4
train,17-5-6-18
train,5-6-5-6-5-6-3-4
train,5-3-6-4
train,3-5-6-4
validation,1-5-0-2-49-50-6-5-6-7-22-40-40-41-5-3-4
train,45-6-5-6-5-6-5-6-46
train,1-9-9-16-28-43-35-43-3-4
train,45-5-6-5-6-46
train,45-5-6-5-6-5-36-6-5-6-46
train,3-5-4
validation,45-46
train,45-46
train,45-6-46
train,17-5-18
train,51-51-49-6-50-49-5-50-49-50-49-50-49-50-49-22-50-22-49-50-7-7-44-52-7-7-44-44-52-52-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-44-7-6-51-7-41-41-7-7-7-41-41-51-51-41-41-41-41-41-41-41-41-41-41-5-41-41-6-51-0-5-6-2-0-2-0-5-2-6-0-2-5-6-5-6-5-3-35-43-6-4
train,17-5-6-18
train,5-0-2-6-0-5-2-0-2-0-2-6-5-3-4
train,6-5-3-6-5-6-4
train,3-5-6-4
test,1-5-6-5-45-6-5-6-46
train,45-5-46
validation,45-6-46
train,5-6-45-46
train,5-45-46
train,6-45-5-6-46
train,17-5-6-18
train,5-6-0-2-0-2-49-50-49-50-49-50-49-50-49-50-49-50-5-49-50-45-49-50-49-6-50-46
train,49-50-45-46
